Symbol,Company Name,Industry,Sector
RRKABEL,R R Kabel Limited,Cables - Electricals,Unknown
RVNL,Rail Vikas Nigam Limited,Civil Construction,Unknown
SAGILITY,SAGILITY LIMITED,IT Enabled Services,Unknown
SAIL,Steel Authority of India Limited,Iron & Steel,Unknown
SAILIFE,Sai Life Sciences Limited,Pharmaceuticals,Unknown
SAMMAANCAP,Sammaan Capital Limited,Housing Finance Company,Unknown
SAPPHIRE,Sapphire Foods India Limited,Restaurants,Unknown
SARDAEN,Sarda Energy & Minerals Limited,Iron & Steel,Unknown
SAREGAMA,Saregama India Limited,Media & Entertainment,Unknown
SBFC,SBFC Finance Limited,Non Banking Financial Company (NBFC),Unknown
SBICARD,SBI Cards and Payment Services Limited,Non Banking Financial Company (NBFC),Unknown
SBILIFE,SBI Life Insurance Company Limited,Life Insurance,Unknown
SBIN,State Bank of India,Public Sector Bank,Unknown
SCHAEFFLER,Schaeffler India Limited,Auto Components & Equipments,Unknown
SCHNEIDER,Schneider Electric Infrastructure Limited,Heavy Electrical Equipment,Unknown
SCI,Shipping Corporation Of India Limited,Shipping,Unknown
SHREECEM,SHREE CEMENT LIMITED,Cement & Cement Products,Unknown
SHRIRAMFIN,Shriram Finance Limited,Non Banking Financial Company (NBFC),Unknown
SHYAMMETL,Shyam Metalics and Energy Limited,Iron & Steel Products,Unknown
SIEMENS,Siemens Limited,Heavy Electrical Equipment,Unknown
SIGNATURE,Signatureglobal (India) Limited,Residential Commercial Projects,Unknown
SJVN,SJVN Limited,Power Generation,Unknown
SOBHA,Sobha Limited,Residential Commercial Projects,Unknown
SOLARINDS,Solar Industries India Limited,Explosives,Unknown
SONACOMS,Sona BLW Precision Forgings Limited,Auto Components & Equipments,Unknown
SONATSOFTW,Sonata Software Limited,Computers - Software & Consulting,Unknown
SPLPETRO,Supreme Petrochem Limited,Petrochemicals,Unknown
SRF,SRF Limited,Specialty Chemicals,Unknown
STARHEALTH,Star Health and Allied Insurance Company Limited,General Insurance,Unknown
SUMICHEM,Sumitomo Chemical India Limited,Pesticides & Agrochemicals,Unknown
SUNDARMFIN,Sundaram Finance Limited,Non Banking Financial Company (NBFC),Unknown
SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharmaceuticals,Unknown
SUNTV,Sun TV Network Limited,TV Broadcasting & Software Production,Unknown
SUPREMEIND,Supreme Industries Limited,Plastic Products - Industrial,Unknown
SUZLON,Suzlon Energy Limited,Heavy Electrical Equipment,Unknown
SWANCORP,SWAN CORP LIMITED,Petrochemicals,Unknown
SWIGGY,Swiggy Limited,E-Retail/ E-Commerce,Unknown
SYNGENE,Syngene International Limited,Healthcare Research Analytics & Technology,Unknown
SYRMA,Syrma SGS Technology Limited,Industrial Products,Unknown
TARIL,Transformers And Rectifiers (India) Limited,Heavy Electrical Equipment,Unknown
TATACAP,Tata Capital Limited,Non Banking Financial Company (NBFC),Unknown
TATACHEM,Tata Chemicals Limited,Commodity Chemicals,Unknown
TATACOMM,Tata Communications Limited,Telecom - Cellular & Fixed line services,Unknown
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Tea & Coffee,Unknown
